vote_id,yes,no,abstain
66e2e55e-85a8-4b05-9182-d37e232e5e43,0,73,0
1982f8d6-27c9-4f6b-a26f-191a3078d1c1,0,73,0
bbbe162d-bbaf-4a80-8688-58e4541e85c0,0,73,0
f60cd685-0d42-4b41-93be-39eb5c809845,75,0,0
6bff8d86-38e8-4bfe-80bd-8472b275a9f0,0,66,0
b0fcee43-a33b-4820-9873-c419f38848b0,0,65,0
9e877200-a166-4292-b08b-31d7e0e6f381,51,12,2
4a0c4fff-514c-469a-ba6f-5e596164d513,55,10,2
421bfa0f-56ce-47e0-bbdf-8c2c94640837,0,72,2
c564f866-4b34-4e70-8518-35af8a363162,75,0,0
4d6eb23e-68a1-4528-ae68-a6a070114c64,1,56,0
fa5a0f04-f9c4-4f88-bc23-9ce5cd6e2021,3,69,1
e2f007db-dc5a-480c-af24-a15a1e009204,1,58,0
9feece7a-29a1-4b05-9446-89b4b2a97f6f,0,55,0
82266b8e-27f4-4185-8205-79181781b297,59,0,0
b87017a3-3f05-4c47-b174-506fbfc34bc2,0,0,55
4f98ec86-5cbb-43ff-b58c-44c87efbb2f5,59,0,0
da424221-76f8-44ac-948b-c0f4369ae634,0,60,0
dec1ce40-701f-46da-b2d5-ad038a823afc,0,60,0
cccb42f7-b1dc-4091-82b0-9297e1851911,0,60,0
371b623a-fad6-42dd-96a1-5f4ba2dca354,60,0,0
a335c8b6-9e2c-4bb0-8fd2-e77ea0370fa0,0,56,0
be7f89b5-9343-4af3-87ff-34f0cbf2c9d2,0,62,0
ed54dcb6-38ce-4026-b90d-91e0dafc1e8f,61,0,0
7c19b215-c1c3-4281-9bf0-55cd32765b6e,0,49,0
a968031d-f143-479e-8d0d-eabf38d11943,3,59,2
1deebe44-92c3-4763-80fa-74caecc7257a,1,61,1
2b984bbd-e94e-4cc0-bfd4-5c740e615c9c,14,44,8
251d0d6e-7b63-4980-8fd5-014f79870a21,0,63,0
e44fc6cb-5192-4ad3-8389-6b78bcfa7617,64,0,0
694bbbb0-99fc-47b7-aa93-c052b662a1dc,64,0,0
5b5535de-0bcf-468d-9a0a-21a6f6a636c8,0,65,0
b9bf9ec8-2bcf-4d16-b470-f0ebe54a51f1,0,64,0
02c11156-f5b9-4478-bbb7-d03f022ef869,0,59,0
7339f71b-0bfd-4b6c-a5f9-70bf6851ccee,0,68,0
5219a954-22c5-4ad5-b2df-fee4cd3e1834,0,67,0
c0182e77-5630-4b0e-9952-30b378549b1f,0,64,1
4eb5a0e3-8bd1-48b6-a11e-6ef330ce2bdd,0,50,0
23abeb37-51b8-4eac-bab2-0581d9316094,0,58,0
90a9b6f3-925b-4e3d-a01b-1098b1a1f7c8,53,13,2
016df873-7687-4e59-acd3-d12e87b9a904,0,70,0
bd9ac801-bca1-4f44-8696-48a9711c93c8,0,60,0
f3f61f6a-bc6f-480a-ab24-9e8501e321bf,65,1,1
7ff91c94-8bcb-4e93-bb4e-952a67b03a90,1,53,0
2027435c-9a0f-4e1d-890d-f9168e25c386,38,3,4
ca60c64a-6458-4485-b15d-e55c5eb9803f,0,58,0
3a0214be-41c0-43e9-b4f6-12d2b26c9308,1,65,2
e5676e81-2d63-47b4-be20-20d4a65abac2,0,67,1
a7207afc-08d4-42c8-b4bb-6c2440fbbaee,61,0,0
9b5281ed-204d-4cd6-9d24-d2643af473eb,0,61,0
d20cf9d3-106f-4cab-b723-8487b94ce05a,61,0,0
64d4e832-afbe-4476-8b63-320867bccacc,0,67,0
4ce87593-7b35-4f5d-8a66-2315b4a84c4e,0,68,0
45f28eb6-0a77-4453-90fd-b3e82b4f2d70,0,62,0
39a82453-5aa2-4a1d-bbcb-8fba40c1ecf2,0,73,1
a6f7c82a-8569-41b6-a562-e6e1bc08597e,3,2,65
3f69e271-c1f5-46df-9985-8864293a28c1,1,68,0
3448fff9-82c4-4234-ae9d-3b4a549680bd,0,49,0
177f7c47-a3a5-47bc-8f24-e7968708aa6b,0,58,0
aed64ec3-56cc-4caa-a932-13d02734fbb4,64,0,0
6a3ff7bf-7d39-4e5d-ba92-7f82615b1b44,0,68,0
d569e397-b3d4-49de-8af5-d9e218724542,0,64,0
d271fac8-62fe-4390-a75e-af301e8cf44d,0,54,0
f66c02c9-fb04-46f9-8df5-c8a0b6590cd2,63,0,0
37b2627e-ec89-41d3-8f08-1ea1a15c4259,0,59,0
aa98a82b-697b-4622-8a0c-3a0c948d6b63,0,43,0
edc15e90-109b-4d8d-bd34-a23d29ca4d81,0,62,0
6ad520c4-060b-40bc-8dea-4f0890b77986,64,0,0
aab96cb1-8e7e-42e1-b2f8-515040e2ef0c,62,0,0
0786a678-e054-4710-bda7-21c77ef22dbb,63,0,0
13941fc6-cf8b-4d78-b394-2558d2a5951e,0,62,0
010ed835-1b58-4c9c-aa49-88d5a2b4011a,0,13,0
90505e4f-a02c-42da-9285-398bb5f222e9,0,70,0
89ec9452-5ea2-4e6e-a169-5e9958bee135,0,71,0
ff64fbb5-012c-4896-a83d-1bbca6002f93,68,0,0
adf24866-df99-4335-84ca-8a2146cea623,66,0,0
877a6da5-9edc-4fee-890b-7971b3b376f3,65,0,0
a2214771-6c93-4489-9c85-7015056b50cc,66,0,0
d5fa2a5e-cc89-483b-8cde-34c7e995834b,0,67,0
4cbac7b6-53a0-427e-8a78-f8c9d38b09d5,0,72,0
7fe401f2-ce82-4611-a434-230d6ccd17ad,0,66,3
690bfe84-d9ad-44bb-b5d4-3031f14dabe0,73,0,2
6d3ca23a-e54a-4276-8e4c-9a721b84bac7,7,63,1
9a76263c-dc4d-458b-a941-a499b0c3519b,5,63,2
efa266c4-9774-4f7b-9707-a59d8df168c6,0,48,0
ef6d7e4e-1fe9-47cc-83ce-c6524f8bf0b1,1,52,0
dfe044f9-14d3-4bcd-be94-be4ad7f4b82f,1,2,54
82a15006-32d8-4c29-9e2e-6b1657607aa3,0,63,0
b3d70b22-6a3e-405b-be67-5b55bf66503f,0,0,67
a3b38e97-c367-45eb-951f-9168e67f574f,0,70,0
dcfe9487-5bec-40b4-ac7e-5e266532917d,72,0,0
a8374def-fc7e-4800-bb1d-14d966ffad49,1,60,0
ce045a4d-260d-46c4-85bc-95d81ecd6ebe,0,63,0
d6a2e131-ef45-4c78-807b-d53492489a6b,0,65,0
c36b8cd3-07ea-40c2-84b3-c743971a6e8b,0,65,0
146c1fd0-044f-4b78-8f49-552ee1a32ce6,0,65,0
8ebfd7e2-0139-4415-939b-40dcd913d664,65,0,0
e2513da6-a4f8-4d5e-8ef3-67683163741d,0,73,0
b0bd72e3-b293-4c10-a1cd-8a118e0f6c9f,60,0,0
f01a0516-e6de-43a9-92c3-c68b110ec180,0,62,0
08b60bc1-2873-4be6-96a4-c3486f32ed58,0,0,63
135561cc-b277-4bff-85db-469561fc3aba,2,61,0
76da33c1-43e6-4952-a8f1-7c68cc61b41b,0,65,0
272ea93b-3760-43e4-8c03-f188de9bf2a0,65,0,0
43293c52-21c7-498d-b4ae-44ea68303169,0,65,0
f26bb20c-690d-4706-9223-b984c5c349b8,0,67,0
f04cf2a5-151c-41e4-8180-ddd1f879d40e,1,0,62
bf37d984-2dd9-419f-8c39-a6b8428f01da,63,0,0
92a9ab4f-2e68-46b0-9fc3-d8a714a5a95d,47,17,4
64e78766-388d-43ce-82a3-307ad71a9f11,0,66,0
678519b4-1e98-4d5e-9cc8-48c58cf212cd,3,41,21
dffff148-6a70-4c68-a872-8492ccd93a18,1,0,68
0c9df7d9-7614-4759-8f66-488eeb6dcf51,0,66,1
daf2d567-9345-46d5-ae0e-409d97a8300c,0,64,0
d667a7a8-3c25-431c-b93f-f0f68bcd219d,0,66,0
43218ca6-7c2a-49cf-95c9-0ea8c517c290,0,63,0
278f3021-01bf-4cf2-b918-a57c5b138c91,0,3,66
6c297f64-7a7b-4324-8a7c-800bfd5653ca,0,70,0
e863ae32-3a46-416c-b2ea-b54612aeb4ac,0,69,0
1f3fd37c-d98f-49ba-9fae-704470ae29a7,0,63,0
a2fae1c2-e440-426a-b2a5-f3ce6323ef1e,0,74,0
d1ff2ee3-2700-4622-963c-818bdf582976,0,70,0
73ab6f58-9a70-4d04-b6b3-8e777b52dc07,0,67,0
61b6501b-71cd-4fd6-a599-271a65585bfb,66,0,0
10ea03b3-a8e6-444d-8714-58552a4a9a1b,0,1,65
a40ded8c-2d06-4f1d-9ecc-b86b1dd099ca,0,68,0
523776c1-db3e-40b3-8185-14541e5533db,67,0,0
5bc233b7-d44b-4404-ae20-350a30691632,0,64,0
c45966a5-647c-47ea-b8b7-aca973d52222,0,71,0
fc7f36b9-bd9d-4eee-a211-6d3fe0b054ef,0,0,72
f6837d6e-c5f0-46f7-8423-1c340b03ea45,0,70,0
2f87f50e-0985-441b-bffa-dfd34af16874,71,0,0
4adfdaab-fec4-40c4-9ff0-a12fa3baca9b,70,0,0
90955d5b-458c-4947-a3c2-02cb6744b36d,0,64,0
4b60fb60-8b16-4d0f-9983-45d7d4e6ca55,1,1,60
08b4d1ae-286d-4e63-9311-fa75bdb7d374,0,64,0
d75faf21-1e0b-4c3a-a120-200480277401,0,63,0
46839e74-5466-4398-ae26-b23f9dec7152,0,0,68
0cc61e04-6098-4931-9d8a-a1fa629b9701,65,0,1
f9e8b63b-d42e-4964-99bc-7b00ce6bc12b,1,0,63
f1bad23f-9cd3-4b18-9664-6893b25eca22,62,1,1
adcd7e7e-58f3-4523-8847-9d7b1cabdf16,68,0,0
6efd47b7-992e-4443-8644-eac5b93045fb,70,0,0
dbbb4cb4-e3a4-4af2-bdab-357f3cc36e59,72,0,0
8f21277c-adfa-4750-8ffc-baa21cf99c5b,0,76,0
a7c8bc17-0801-4b10-b001-084739e5a5ea,1,64,0
9bacacfb-a41e-4ba1-80c3-015869a44e9c,1,66,0
ea8c636e-3e77-4dea-a4a6-4f2faf69bb0b,0,65,0
0a1b4411-4a35-46d0-b3b6-7e7f5c507162,0,66,0
e264258a-7124-4271-afd6-d13bf57c0619,66,0,0
6681fc56-cced-4357-a861-7dcf02b548dd,20,47,0
63c5b6ad-c216-4c1d-9e2f-dae0d37eaa3b,69,0,0
fa152ed3-6d29-432b-afb2-b7ca70ee5140,0,70,0
ff3a8e04-80ea-4bd7-bf09-9cc8946f52e7,0,69,0
f43f3e42-064a-4502-a363-a371e510f5f4,0,70,0
06743991-d339-4438-85cb-7385d087f7a3,0,69,0
2204aefc-9a6f-407b-87f6-8435520809ea,0,67,0
766f0bf3-1c67-4453-a646-264421f0ef75,33,35,6
15b49b54-bd78-4e59-a50e-eaeae6fbc2a4,72,0,0
ca059d5f-9c32-4a0b-b73d-7e42ab097de7,6,48,19
19bfc9a0-6066-416d-a32f-2aee136acd15,0,72,0
37691070-2271-487a-809a-628dfebfd1a5,0,71,0
a11a80a5-58e6-4b1b-a576-1d805ac502d7,0,2,71
ce81d038-e8af-4227-a657-828f0adccd85,0,76,0
40b8a6a2-d1ca-46b9-8c93-943c5dc663ff,0,68,0
e71f394f-c2ee-4da2-8ff0-a51651e5eef0,65,0,1
cee96bcb-c5dc-4cd6-87a9-a6cd5c3e3704,0,67,0
72e867ac-16a0-4215-b30f-6ac433879840,0,68,0
d383e4e1-7618-426b-95fc-1926b6d05eb7,0,69,0
3e234600-f345-42e6-95be-db7b78f01873,0,69,0
1537e306-3687-4254-ab8d-5a940b323d10,4,66,3
a8f9b527-6b5a-4a37-8d6e-c015fec4f48d,77,0,0
93dacfa1-ad8e-4767-bbcc-a7603cf2f70c,1,74,2
9deaf85e-6c0b-46e5-8007-88386afa6bdf,0,74,0
05ded506-a8fe-4cdf-b3bf-f858ea6a97d2,0,76,0
f22ac09b-e1a3-4b27-94b8-c34d849dff61,58,8,4
5c217b50-cd18-4cb7-a949-ce79bcf055be,0,63,0
f9b8fdc9-9115-443f-80da-b395fbbdf777,0,73,0
5cec1940-a915-4f88-bb6d-967826577dd7,1,66,1
28c9f964-b598-4a73-97af-dc5815889d19,0,73,0
4f6fc0a2-2243-441d-b6cb-636ccef0bb7c,0,67,0
103ec11c-04d5-43cd-b72f-8ecb1830b69a,0,73,0
